tweet_id,favorite_count,retweet_count
892420643555336193,38196,8365
892177421306343426,32745,6177
891815181378084864,24660,4089
891689557279858688,41512,8504
891327558926688256,39707,9206
891087950875897856,19932,3064
890971913173991426,11662,2028
890729181411237888,64454,18564
890609185150312448,27390,4205
890240255349198849,31435,7266
890006608113172480,30223,7216
889880896479866881,27390,4895
889665388333682689,47415,9892
889638837579907072,26762,4473
889531135344209921,14887,2208
889278841981685760,24877,5286
888917238123831296,28668,4421
888804989199671297,25191,4223
888554962724278272,19541,3492
888078434458587136,21441,3443
887705289381826560,29734,5302
887517139158093824,45590,11484
887473957103951883,68072,17886
887343217045368832,33190,10243
887101392804085760,30115,5870
886983233522544640,34639,7646
886736880519319552,11877,3230
886680336477933568,22100,4395
886366144734445568,20877,3148
886267009285017600,116,4
886258384151887873,27580,6186
886054160059072513,0,105
885984800019947520,32186,6689
885528943205470208,35462,6330
885518971528720385,20127,3705
885311592912609280,0,18277
885167619883638784,21597,4314
884925521741709313,76363,18002
884876753390489601,27516,5562
884562892145688576,23952,4658
884441805382717440,26609,5570
884247878851493888,71976,20153
884162670584377345,20071,2943
883838122936631299,21585,3395
883482846933004288,45270,9798
883360690899218434,22357,3643
883117836046086144,36672,6574
882992080364220416,23628,3865
882762694511734784,27904,4843
882627270321602560,27523,5997
882268110199369728,44330,11432
882045870035918850,28944,4901
881906580714921986,23978,3344
881666595344535552,49882,10512
881633300179243008,124,7
881536004380872706,48757,15716
881268444196462592,22768,5095
880935762899988482,16780,2746
880872448815771648,20979,3763
880465832366813184,28137,6186
880221127280381952,26690,4161
880095782870896641,27272,4298
879862464715927552,22023,3449
879674319642796034,308,10
879492040517615616,23097,3140
879415818425184262,104420,43619
879376492567855104,16548,3078
879130579576475649,0,6740
879050749262655488,22255,4657
879008229531029506,18729,2664
878776093423087618,19149,4078
878604707211726852,29864,7112
878404777348136964,0,1271
878316110768087041,0,6570
878281511006478336,7646,1271
878057613040115712,41471,6740
877736472329191424,78741,18859
877611172832227328,0,80
877556246731214848,22419,3766
877316821321428993,27023,5115
877201837425926144,26764,5519
876838120628539392,20415,3307
876537666061221889,23199,4578
876484053909872640,18519,2371
876120275196170240,27561,4646
875747767867523072,24875,4251
875144289856114688,21645,4878
875097192612077568,27076,5987
875021211251597312,25164,4674
874680097055178752,27500,4605
874434818259525634,0,14608
874296783580663808,25753,4077
874057562936811520,22384,3924
874012996292530176,34202,10332
873580283840344065,23931,3916
873337748698140672,0,1578
873213775632977920,7151,1578
872967104147763200,27075,5374
872820683541237760,14568,3675
872620804844003328,20580,3679
872486979161796608,40269,8970
872261713294495745,33873,6293
872122724285648897,34123,8089
871879754684805121,37645,11136
871762521631449091,20103,3465
871515927908634625,20048,3445
871166179821445120,0,5689
871102520638267392,20767,5490
871032628920680449,22491,3812
870804317367881728,33375,6200
870726314365509632,119,3
870656317836468226,12337,2646
870374049280663552,82205,26213
870308999962521604,21715,4156
870063196459192321,36469,8359
869772420881756160,42198,10049
869702957897576449,28113,6364
869596645499047938,15912,3139
869227993411051520,20355,3798
868880397819494401,65437,14552
868639477480148993,0,2107
868622495443632128,26761,5406
868552278524837888,10118,2107
867900495410671616,24152,4203
867774946302451713,33963,7386
867421006826221569,16102,2528
867072653475098625,0,121
867051520902168576,32229,7930
866720684873056260,20092,4859
866686824827068416,19352,3521
866450705531457537,122410,35610
866334964761202691,52675,14608
866094527597207552,0,8464
865718153858494464,25681,5680
865359393868664832,26556,5060
865006731092295680,28096,7778
864873206498414592,32411,8822
864279568663928832,14683,3081
864197398364647424,30300,9071
863907417377173506,20727,4207
863553081350529029,15378,4242
863471782782697472,0,2494
863432100342583297,23961,5347
863427515083354112,2280,99
863079547188785154,8822,1119
863062471531167744,8580,2494
862831371563274240,19300,5171
862722525377298433,17188,3588
862457590147678208,20703,5045
862096992088072192,75134,23731
861383897657036800,36368,10906
861288531465048066,17337,4240
861005113778896900,16866,3881
860981674716409858,0,2204
860924035999428608,0,840
860563773140209665,7579,2204
860524505164394496,23858,5393
860276583193509888,18490,3553
860184849394610176,16865,5964
860177593139703809,0,31569
859924526012018688,19753,4190
859851578198683649,15574,3592
859607811541651456,18801,1612
859196978902773760,91042,30975
859074603037188101,34304,13947
858860390427611136,0,8357
858843525470990336,15736,3565
858471635011153920,21779,4977
858107933456039936,15935,2999
857989990357356544,16347,2655
857746408056729600,34773,10951
857393404942143489,6002,1690
857263160327368704,20318,4658
857214891891077121,232,18
857062103051644929,0,177
857029823797047296,19248,4131
856602993587888130,0,11042
856543823941562368,16539,2973
856526610513747968,12045,1942
